iter	Passed	Remaining
1159	3239	24689
1160	3242	24689
1161	3245	24686
1162	3248	24684
1163	3251	24680
1164	3254	24677
1165	3256	24675
1166	3259	24672
1167	3262	24668
1168	3265	24666
1169	3267	24662
1170	3270	24659
1171	3273	24656
1172	3276	24652
1173	3278	24648
1174	3281	24644
1175	3283	24641
1176	3286	24636
1177	3289	24634
1178	3292	24630
1179	3294	24627
1180	3297	24623
1181	3300	24621
1182	3303	24618
1183	3305	24616
1184	3308	24612
1185	3311	24608
1186	3314	24605
1187	3316	24601
1188	3319	24597
1189	3322	24595
1190	3325	24592
1191	3327	24591
1192	3330	24588
1193	3333	24585
1194	3336	24582
1195	3339	24580
1196	3341	24577
1197	3344	24574
1198	3347	24570
1199	3350	24567
1200	3352	24563
1201	3355	24563
1202	3358	24560
1203	3361	24557
1204	3364	24556
1205	3367	24553
1206	3370	24551
1207	3373	24549
1208	3375	24546
1209	3378	24542
1210	3381	24538
1211	3383	24535
1212	3386	24532
1213	3389	24531
1214	3392	24528
1215	3395	24524
1216	3397	24521
1217	3400	24517
1218	3403	24516
1219	3406	24513
1220	3408	24508
1221	3411	24504
1222	3414	24501
1223	3416	24497
1224	3419	24496
1225	3422	24494
1226	3425	24491
1227	3427	24487
1228	3430	24483
1229	3433	24482
1230	3436	24480
1231	3439	24477
1232	3442	24474
1233	3444	24470
1234	3447	24468
1235	3450	24465
1236	3453	24463
1237	3456	24461
1238	3458	24458
1239	3461	24455
1240	3464	24452
1241	3467	24449
1242	3470	24448
1243	3473	24445
1244	3475	24441
1245	3478	24437
1246	3480	24433
1247	3483	24431
1248	3486	24430
1249	3489	24428
1250	3492	24425
1251	3495	24421
1252	3498	24419
1253	3501	24418
1254	3503	24415
1255	3506	24411
1256	3509	24409
1257	3512	24407
1258	3514	24403
1259	3517	24401
1260	3520	24399
1261	3523	24395
1262	3526	24392
1263	3528	24389
1264	3531	24385
1265	3534	24384
1266	3537	24383
1267	3540	24380
1268	3543	24377
1269	3545	24373
1270	3548	24370
1271	3551	24368
1272	3554	24365
1273	3556	24361
1274	3559	24358
1275	3562	24354
1276	3564	24351
1277	3567	24350
1278	3570	24347
1279	3573	24344
1280	3576	24341
1281	3579	24339
1282	3582	24337
1283	3584	24333
1284	3587	24331
1285	3590	24328
1286	3593	24324
1287	3595	24320
1288	3598	24317
1289	3601	24315
1290	3603	24311
1291	3606	24306
1292	3609	24302
1293	3611	24299
1294	3614	24296
1295	3617	24293
1296	3619	24289
1297	3622	24285
1298	3625	24282
1299	3628	24280
1300	3631	24279
1301	3634	24278
1302	3637	24276
1303	3640	24274
1304	3642	24271
1305	3645	24267
1306	3648	24266
1307	3651	24263
1308	3653	24259
1309	3656	24254
1310	3658	24250
1311	3661	24246
1312	3664	24245
1313	3667	24242
1314	3670	24238
1315	3672	24235
1316	3675	24231
1317	3677	24227
1318	3680	24225
1319	3683	24222
1320	3686	24218
1321	3688	24215
1322	3691	24212
1323	3694	24209
1324	3697	24207
1325	3700	24205
1326	3703	24202
1327	3705	24199
1328	3708	24195
1329	3711	24192
1330	3714	24190
1331	3716	24187
1332	3719	24184
1333	3722	24181
1334	3724	24176
1335	3727	24173
1336	3730	24172
1337	3733	24168
1338	3736	24166
1339	3738	24163
1340	3741	24159
1341	3744	24155
1342	3747	24154
1343	3749	24151
1344	3752	24148
1345	3755	24146
1346	3758	24144
1347	3761	24141
1348	3764	24139
1349	3766	24135
1350	3769	24130
1351	3772	24127
1352	3774	24124
1353	3777	24122
1354	3780	24120
1355	3783	24116
1356	3785	24113
1357	3788	24110
1358	3791	24106
1359	3794	24104
1360	3796	24101
1361	3799	24098
1362	3802	24094
1363	3805	24091
1364	3807	24087
1365	3810	24086
1366	3813	24085
1367	3816	24081
1368	3819	24077
1369	3821	24074
1370	3824	24070
1371	3827	24068
1372	3830	24067
1373	3833	24064
1374	3835	24060
1375	3838	24058
1376	3841	24056
1377	3844	24054
1378	3847	24052
1379	3850	24049
1380	3852	24045
1381	3855	24042
1382	3858	24038
1383	3860	24035
1384	3863	24031
1385	3866	24030
1386	3869	24028
1387	3872	24025
1388	3874	24021
1389	3877	24020
1390	3880	24017
1391	3883	24015
1392	3886	24012
1393	3889	24009
1394	3891	24006
1395	3894	24003
1396	3897	23999
1397	3899	23996
1398	3902	23992
1399	3905	23989
1400	3907	23985
1401	3910	23984
1402	3913	23981
1403	3916	23977
1404	3918	23974
1405	3921	23970
1406	3924	23967
1407	3927	23964
1408	3929	23960
1409	3932	23956
1410	3935	23953
1411	3937	23950
1412	3940	23947
1413	3943	23944
1414	3946	23942
1415	3948	23938
1416	3951	23934
1417	3954	23931
1418	3956	23927
1419	3959	23924
1420	3962	23921
1421	3965	23920
1422	3968	23917
1423	3970	23913
1424	3973	23912
1425	3976	23909
1426	3979	23906
1427	3982	23904
1428	3984	23900
1429	3987	23897
1430	3990	23895
1431	3993	23892
1432	3996	23889
1433	3998	23885
1434	4001	23882
